file,begin,end,speaker,loglikelihood
025043-2163021,0.0,3.328,025043,-5.080843373493976
024832-2471769,0.0,7.244625,024832,-5.29718093922652
024832-2215395,0.0,2.5541875,024832,-5.975796078431372
024832-2470203,0.0,4.736875,024832,-5.198315010570824
024832-2788608,0.0,1.8111875,024832,-6.231569060773481
025043-2379809,0.0,2.688,025043,-5.558160447761194
024832-2290369,0.0,3.0650625,024832,-5.6192320261437905
024832-2789954,0.0,1.5789375,024832,-5.3630789808917205
025043-2162931,0.0,3.456,025043,-5.197585507246377
024832-2537778,0.0,1.9969375,024832,-5.66013567839196
025043-2163476,0.0,2.688,025043,-5.5945
024832-2536422,0.0,4.45825,024832,-5.848793258426967
025043-2163016,0.0,2.56,025043,-4.88957421875
025043-2163491,0.0,1.92,025043,-4.853169791666667
025043-2163409,0.0,2.432,025043,-5.635489711934157
024832-2290089,0.0,2.6470625,024832,-5.898310606060606
024832-2289861,0.0,2.414875,024832,-6.136286307053942
025043-2379775,0.0,2.432,025043,-5.5822469135802475
024832-2213062,0.0,1.4860625,024832,-5.834165540540541
025043-2163455,0.0,2.304,025043,-5.690586956521739
024832-2789511,0.0,1.1145625,024832,-6.170590090090091
025043-1906940,0.0,4.48,025043,-5.355613839285715
024832-2212729,0.0,2.50775,024832,-6.1098040000000005
025043-2163313,0.0,1.92,025043,-5.513197916666667
024832-2473015,0.0,6.083625,024832,-6.031402960526315
025043-2163100,0.0,2.816,025043,-5.172017793594306
025043-2163505,0.0,2.304,025043,-5.3640739130434785
025043-2379784,0.0,2.048,025043,-4.956382352941176
025043-2379789,0.0,2.944,025043,-5.275251700680272
025043-2163486,0.0,2.688,025043,-5.164809701492538
025043-2163090,0.0,4.608,025043,-3.754826086956522
025043-2379807,0.0,2.176,025043,-5.494866359447005
025043-2163509,0.0,2.432,025043,-4.823794238683128
025043-2163507,0.0,3.2,025043,-5.02835
025043-2379791,0.0,2.048,025043,-4.796563725490196
025043-2163108,0.0,3.712,025043,-4.607482479784366
